SUBJECT,COURSE_NUMBER,COURSE_SECTION_NUMBER,TITLE,CAMPUS,AUDIT,A,A_GF,B,B_GF,B+,B+_GF,C,C_GF,C+,C+_GF,D,D_GF,D+,D+_GF,F,F_GF,FN,Incomplete,IP,No Grade,NR,S,T,U,UN,W,WF,Num Grades Posted
ASUP,A110,003,Emerging Leader,AIK,0,14,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ASUP,A210,001,Citizen Leadership,AIK,0,10,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20
ASUP,A310,001,Leadership Exchange,AIK,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
ASUP,A410,001,College to Career,AIK,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
BADM,A225,001,Principles of Financial Acctng,AIK,0,10,0,9,0,6,0,12,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,54
BADM,A225,002,Principles of Financial Acctng,AIK,0,4,0,5,0,2,0,5,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,25
BADM,A225,PC,Principles of Financial Acctng,AIK,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13
BADM,A226,001,Principles Managerial Acctng,AIK,0,6,0,6,0,0,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30
BADM,A226,003,Principles Managerial Acctng,AIK,0,7,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15
BADM,A226,PC,Principles Managerial Acctng,AIK,0,7,0,2,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16
BADM,A226,PC1,Principles Managerial Acctng,AIK,0,8,0,3,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,17
BADM,A290,001,Intro. to Info. Sys. in Bus.,AIK,0,9,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,16
BADM,A290,064,Intro. to Info. Sys. in Bus.,AIK,0,2,0,1,0,2,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,15
BADM,A290,PC,Intro. to Info. Sys. in Bus.,AIK,0,19,0,7,0,2,0,3,0,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,46
BADM,A296,001,Statistics,AIK,0,1,0,1,0,3,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,13
BADM,A296,002,Statistics,AIK,0,10,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BADM,A324,001,Commercial Law,AIK,0,9,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
